title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
Boudhanath Stupa,4.5,8897,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Phewa Tal (Fewa Lake),4.5,2988,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sarangkot,4.5,2199,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swayambhunath Temple,4.5,6203,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Poon Hill,4.5,1477,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Peace Temple,4.5,2411,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pashupatinath Temple,4.5,4937,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Durbar (Central) Square,4.5,987,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chandragiri Hills,4.5,399,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mount Everest,5,425,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Begnas Lake,4.5,552,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Golden Temple (Hiranya Varna Mahavihar),4.5,351,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Patan Museum,4.5,526,    Art Museums     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
International Mountain Museum,4,956,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bhaktapur Durbar Square,4.5,1632,"    Ancient Ruins   ,    Points of Interest & Landmarks     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Narayani River,4.5,410,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kopan Monastery,4.5,787,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Thamel,4,5687,    Neighborhoods     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nagarkot Panoramic Hiking Trail,4.5,82,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Gokyo Lakes,5,122,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Patan Durbar Square,5,60,"    Points of Interest & Landmarks   ,    Historic Walking Areas     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Garden of Dreams,4.5,4021,    Gardens     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Namo Buddha (Stupa),4.5,129,"    Points of Interest & Landmarks   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Polar Trekking & Expedition  - Day Tours,5,175,"    Parasailing & Paragliding   ,    River Rafting & Tubing     ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Kathmandu Durbar Square,4,4711,"    Historic Sites   ,    Points of Interest & Landmarks     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chitwan National Park,4.5,555,"    National Parks   ,    Nature & Wildlife Areas     ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gupteswar Gupha,4,480,    Caverns & Caves     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Trisuli River,4.5,29,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Devi   s Fall,3,1459,    Waterfalls     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gurkha Memorial Museum,4.5,310,    History Museums     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Muktinath Temple,4.5,134,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Barahi temple,4,388,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Maya Devi Temple,4.5,446,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Annapurna Base Camp Trek,5,25,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Annapurna Mountain Range,5,537,"    Mountains   ,    Hiking Trails     ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bindhya Basini Temple,4,222,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kala Patthar,5,60,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Asan,4.5,243,    Flea & Street Markets     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Bishazari Tal,5,4,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jomsom Muktinath Trek,4.5,56,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Shivapuri Nagarjun National Park,4.5,135,    National Parks     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mahaboudha Temple,4.5,61,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kailashnath Mahadev,4.5,112,    Monuments & Statues     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Dakshinkali Temple,4.5,235,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Budhanilkantha,4.5,372,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Krisnhna Mandir Temple (Chayasim Deval),4.5,114,"    Historic Sites   ,    Religious Sites     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jangchub Choeling Tibetan Monastery,4.5,18,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Nagarkot Nature Trail,4.5,67,"    Nature & Wildlife Areas   ,    Hiking Trails     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Pokhara Lakeside,4.5,47,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hanuman Dhoka,4.5,589,"    Points of Interest & Landmarks   ,    Architectural Buildings     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mahendra Cave,3,183,    Caverns & Caves     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Changu Narayan,4.5,497,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Crematoria,4,1468,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Seti River Gourge,3.5,111,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Seti Gandaki (Seti River),4,158,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bat Cave,3.5,198,"    Nature & Wildlife Areas   ,    Caverns & Caves     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Tiger Residency Resort,4,22,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sherpa Museum,4.5,80,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Langtang Valley,5,52,    Valleys     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Thrangu Tashi Monastery,4.5,169,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pathibhara Devi Temple,5,8,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Patan Royal Palace,4.5,30,    Historic Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Janaki Temple,4.5,64,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kumari Chowk,4,785,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Thani Mai Temple,4.5,31,"    Lookouts   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sagarmatha National Park Museum,4.5,11,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rupa Lake,4,43,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tushita-Nepal,4.5,16,"    Mysterious Sites   ,    Religious Sites     ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Kali Gandaki River,4.5,18,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Matepani Gumba,4.5,8,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rudra Varna Mahavihar,4.5,29,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Khumbeshwar Temple,4.5,55,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Annapurna Butterfly Museum,4,42,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Narayanhiti Palace Museum,4,298,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Babar Mahal Revisted,4.5,90,    Architectural Buildings     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pandeli Park, Sarangkot",4.5,11,    Parks     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Labim Mall,4.5,21,    Shopping Malls     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Basantapur Tower,4.5,308,    Lookouts     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tatopani Hot Spring,3.5,14,    Hot Springs & Geysers     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
The Central Zoo,3.5,88,    Zoos     ,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
yogconnection,5,9,    Sports Camps & Clinics     ,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Buddhasubba Temple,4.5,13,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Adam Tribe Organic Farm,5,17,    Farms     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Mangal Bazar,4,28,    Flea & Street Markets     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Phulchoki,4.5,33,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kedareshwar Mahadev Mani Temple,4,8,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Makwanpur Gadhi,4.5,11,    Historic Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dudh Koshi River,5,18,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Machapuchare,5,81,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mt Ama Dablam,5,36,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bhimsen Temple,4,40,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Klod Fashion Exquisite,5,5,    Shopping Malls     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Manakamana Temple,4.5,145,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pokhara Museum,4,57,    History Museums     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kala Pattar,5,84,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIG Splash,4,4,    Water Parks     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Budhanilakantha Temple,4.5,130,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pullahari Monastery,4.5,60,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Everest View Point,5,18,    Lookouts     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Khumbu Glacier,5,29,"    Points of Interest & Landmarks   ,    Geologic Formations     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kulekhani Dam,4.5,13,    Dams     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shree Gaden Dhargay Ling Monastery,4,15,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
National Botanical Gardens,4,61,    Gardens     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Muktinath Temple,5,23,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Tharu Cultural Museum and Research Center,4.5,15,"    Speciality Museums   ,    Natural History Museums     ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shree Gahawamai Temple,4.5,12,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kyanjin Gompa,5,58,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chitwan Tharu Village,4,203,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ilam Tea Garden,4.5,16,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
World Peace Pagoda,4.5,116,"    Points of Interest & Landmarks   ,    Architectural Buildings     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Koshi Tappu Wildlife Reserve,4,13,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Rara Lake,5,43,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kriayt Social Business,4.5,9,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jaganath (Krishna) Temple,4,139,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Dipang Lake,3.5,11,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kafuche Lake,4,1,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Indra Chowk,4,83,    Historic Walking Areas     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gurunghe Hill,5,9,"    Mountains   ,    Lookouts     ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ramgram Stupa,5,6,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kathesimbu Stupa,4.5,91,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Basundhara Park,3.5,3,    Parks     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nuwakot Durbar,4.5,39,    Historic Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nyatapola Temple,4.5,267,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Whoopee Land Amusement and Water Park,3.5,8,    Water Parks     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sun Kosi,5,1,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dhumba Lake,4.5,11,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nagarkot Buddha Peace Park Hiking Trail,4,13,    Hiking Trails     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Nagarkot to Dhulikhel Hiking,4,2,    Scenic Walking Areas     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Taleju Mandir Temple,4.5,18,"    Points of Interest & Landmarks   ,    Architectural Buildings     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Daman,4.5,13,"    Historic Walking Areas   ,    Biking Trails     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The White Gallery,5,1,    Art Galleries     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Mera Peak,4.5,14,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Akash Bhairav Temple,4.5,87,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pokhara Trade Mall,2.5,2,    Shopping Malls     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MidTown Galleria,4,1,    Shopping Malls     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Mandala Street,4.5,46,"    Neighborhoods   ,    Points of Interest & Landmarks     ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bageshwori Temple,4.5,16,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ghar Gompa,4.5,9,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Memorial to Scott Fischer,4.5,22,"    Points of Interest & Landmarks   ,    Cemeteries     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sauraha Tharu Culture House,4,72,    Theaters     ,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Mount Climber Trekking Garment Pvt Ltd,5,2,    Factory Outlets     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Red Cliffs,4.5,10,    Caverns & Caves     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tilichol Lake,5,22,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Gosainkunda,4.5,65,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Miteri Park,3,2,    Parks     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bagh Bhairab Temple,4.5,24,"    Points of Interest & Landmarks   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sankhu Village,4.5,41,"    Points of Interest & Landmarks   ,    Historic Walking Areas     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bhat Bhateni,4,1,    Department Stores     ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Amideva Buddha Park,4.5,15,    Parks     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Baha Bahi,4.5,19,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Patan Gate,3.5,42,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Kala Bairav,4.5,156,"    Religious Sites   ,    Monuments & Statues     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Vishwanath Mandir Temple,4,28,"    Architectural Buildings   ,    Religious Sites     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vajrayogini Temple,4.5,64,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Kanchenjunga,5,15,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dolakha Bhimsen Mandir,5,7,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Phoksundo Lake,5,8,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Astrek Climbing Wall,4.5,37,    Sports Complexes     ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Old Gurung Museum,4.5,15,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Ashokan Stupas,4,16,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Templo de Changu Narayan,4.5,58,"    Points of Interest & Landmarks   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sauraha Art Gallery,4.5,8,    Art Galleries     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Mardi Himal,5,11,    Geologic Formations     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pindeshwor Temple,4.5,2,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Siddha Baba Temple,4,3,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Taleju Bell,4,23,"    Historic Sites   ,    Points of Interest & Landmarks     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ranighat Palace,4.5,45,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Lumbini Monastic Site,4.5,209,"    Points of Interest & Landmarks   ,    Religious Sites     ",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Valle del Naar,4.5,6,    Geologic Formations     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mt Taboche,4.5,8,    Mountains     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
White Monastery,4,92,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Taudaha Lake,4,34,    Bodies of Water     ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shechen Monastery,4.5,11,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
55 Window Palace,4.5,189,    Historic Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Elephant Breeding Centre,3,677,    Nature & Wildlife Areas     ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The National Museum,4,90,"    Art Museums   ,    History Museums     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aircrafts Museum,4,4,    Speciality Museums     ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nagarjun Forest Reserve,4,39,"    Nature & Wildlife Areas   ,    Forests     ",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Indreshwar Mahadev Temple,4.5,23,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Degu Taleju Temple,4,91,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Dattatreya Temple,4.5,139,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rato Machhendranath Temple,4,15,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Shiv Jatta,4.5,2,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Cathedral of the Assumption of the Blessed Virgin Mary,5,12,"    Religious Sites   ,    Churches & Cathedrals     ",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Image Ark,4.5,5,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Seto Machindranath Temple,4.5,59,    Religious Sites     ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Panchakanya Temple,4.5,2,    Points of Interest & Landmarks     ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
