destination_id,title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
2675,Sherpa Altitude Adventure Treks and Expedition,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2676,Amantran Spa & Salon,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2677,Baba Tour And Travel,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2678,Sherpa Land Adventure,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2679,Krishna Trekking Guide,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2680,Heavenly Himalaya Treks & Tours,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2681,Secrets of the Himalaya,4.771905697445972,0,"['4WD, ATV & Off-Road Tours', 'Bike Tours']",False,False,False,True,False,False,False,False,False
2682,Castello Cashmere,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2683,Tranquility Spa,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2684,Parahike,4.771905697445972,0,['Air Tours'],False,False,True,False,False,False,False,False,False
2685,Tourist Adventure International,4.771905697445972,0,"['Multi-day Tours', 'Hiking & Camping Tours']",True,False,False,False,False,False,False,False,False
2686,Himalayan Outdoor Center,4.771905697445972,0,"['Multi-day Tours', 'River Rafting & Tubing']",True,False,False,False,False,False,False,False,False
2687,QFX Kumari,4.771905697445972,0,['Movie Theaters'],False,True,False,False,True,False,False,False,False
2688,goGlides,4.771905697445972,0,"['Parasailing & Paragliding', 'Multi-day Tours']",False,False,False,True,False,False,False,False,False
2689,Everest Beauty Salon,4.771905697445972,0,['Spas'],False,False,False,False,False,True,False,False,False
2690,Red Carpet,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2691,Api Himal Treks & Expedition,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2692,Travel Nepal,4.771905697445972,0,"['Multi-day Tours', 'Canyoning & Rappelling Tours']",True,False,False,False,False,False,False,False,False
2693,Bungamati Museum,4.771905697445972,0,['Speciality Museums'],False,False,False,False,False,False,False,False,False
2694,Auronepal Travel and Trek,4.771905697445972,0,"['Multi-day Tours', 'Historical & Heritage Tours']",True,False,False,False,False,False,False,False,False
2695,Adventure Advisor Nepal,4.771905697445972,0,"['Multi-day Tours', 'Historical & Heritage Tours']",True,False,False,False,False,False,False,False,False
2696,Journey 2 himalaya Treks,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2697,Joyful Trekking,4.771905697445972,0,"['Parasailing & Paragliding', 'Multi-day Tours']",False,False,False,True,False,False,False,False,False
2698,Arnav Travel,4.771905697445972,0,"['Distillery Tours', 'Taxis & Shuttles']",False,False,False,False,False,False,False,False,False
2699,Alpine Pashmina House,4.771905697445972,0,['Speciality & Gift Shops'],True,True,False,False,False,False,False,False,False
2700,Trekker Nepal,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2701,Ecovoyage Travel and Tours,4.771905697445972,0,"['Parasailing & Paragliding', 'River Rafting & Tubing']",False,False,False,True,False,False,False,False,False
2702,Adventure Ascent,4.771905697445972,0,"['Climbing Tours', 'Sightseeing Tours']",False,False,True,True,False,False,False,False,False
2703,Shanti Yoga Ashram,4.771905697445972,0,['Yoga & Pilates'],False,False,False,False,False,True,False,False,False
2704,Mam Holidays,4.771905697445972,0,"['Multi-day Tours', 'Canyoning & Rappelling Tours']",True,False,False,False,False,False,False,False,False
2705,Himal Outdoors PVT LTD,4.771905697445972,0,"['Parasailing & Paragliding', 'City Tours']",False,False,False,True,False,False,False,False,False
2706,Trek Dream Nepal,4.771905697445972,0,"['Eco Tours', 'Hiking & Camping Tours']",False,False,False,True,False,False,False,False,False
2707,Sherpa Himalaya,4.771905697445972,0,"['Multi-day Tours', 'Historical & Heritage Tours']",True,False,False,False,False,False,False,False,False
2708,Sherpa Mountains and Adventure,4.771905697445972,0,['Hiking & Camping Tours'],False,False,False,True,False,False,False,False,False
2709,Black Stork Trek and Expedition,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2710,Temple Bar - Irish Pub,4.771905697445972,0,['Bars & Clubs'],False,False,False,False,True,False,False,False,False
2711,Sherpa Shepherds,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2712,Ocean To Sky Adventures,4.771905697445972,0,['Hiking & Camping Tours'],False,False,False,True,False,False,False,False,False
2713,Experience Earth,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2714,Sherpa Khumbiyila Adventures,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2715,Namaste Roving Tours And Travels,4.771905697445972,0,"['Multi-day Tours', 'Cultural Tours']",True,False,False,False,False,False,False,False,False
2716,FunExpedia,4.771905697445972,0,['Climbing Tours'],False,False,True,True,False,False,False,False,False
2717,Adventure Polygon,4.771905697445972,0,['Multi-day Tours'],True,False,False,False,False,False,False,False,False
2718,Hike Nepal,4.771905697445972,0,"['Cultural Tours', 'Safaris']",False,True,False,False,False,False,False,False,True
2719,Nepal Academy Treks and Expedition,4.771905697445972,0,"['Multi-day Tours', 'Climbing Tours']",True,False,False,False,False,False,False,False,False
2720,Nepal Seasonal Adventure Treks,4.771905697445972,0,"['City Tours', 'Multi-day Tours']",True,True,False,False,True,False,False,False,False
2721,Shuva Yatraa,4.771905697445972,0,"['City Tours', 'Hiking & Camping Tours']",True,True,False,False,True,False,False,False,False
2722,Dream Carrier Treks and Expedition,4.771905697445972,0,"['Climbing Tours', 'Eco Tours']",False,False,True,True,False,False,False,False,False
